State Name,District,Households_Rural,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
PUNJAB,Tarn Taran,222717.0,1119627.0,52.2,7.8,7.5504,13.6,5.0336,44457.0,44457.0,3512.103,30141.846
PUNJAB,Tarn Taran,222717.0,1119627.0,42.5,7.1,6.936699999999999,58.4,1.4655,44457.0,44457.0,3156.447,38988.789
PUNJAB,Rupnagar,148162.0,684627.0,33.6,5.8,5.498399999999999,6.2,2.2752,60537.0,60537.0,3632.22,34445.553
PUNJAB,Rupnagar,148162.0,684627.0,31.7,5.5,5.2525,20.2,1.91,60537.0,60537.0,3511.1459999999997,40257.105
PUNJAB,Rupnagar,148162.0,684627.0,26.6,4.9,4.7677000000000005,56.6,0.7784,60537.0,60537.0,3026.85,55512.429000000004
PUNJAB,Sahibzada Ajit Singh Nagar,117293.0,994628.0,40.6,7.0,6.545,7.4,4.0205,174042.0,174042.0,12705.065999999999,105643.494
PUNJAB,Sahibzada Ajit Singh Nagar,117293.0,994628.0,30.4,5.1,4.9062,37.8,2.7898,174042.0,174042.0,9050.184000000001,137667.22199999998
PUNJAB,Sahibzada Ajit Singh Nagar,117293.0,994628.0,23.0,3.7,3.6334000000000004,59.8,1.7676000000000003,174042.0,174042.0,6613.596,160814.80800000002
PUNJAB,Sangrur,292156.0,1655169.0,39.9,5.6,4.9112,4.1,5.5251,156788.0,156788.0,9564.068,123235.36799999999
PUNJAB,Sangrur,292156.0,1655169.0,37.8,5.3,4.7912,17.6,4.6104,156788.0,156788.0,8936.916,129820.464
PUNJAB,Sangrur,292156.0,1655169.0,33.0,4.6,4.4252,47.0,2.405,156788.0,156788.0,7369.036,144244.96
PUNJAB,Barnala,102577.0,595527.0,43.9,6.0,5.304000000000001,2.9,3.0940000000000003,54222.0,54222.0,3524.43,43486.044
PUNJAB,Barnala,102577.0,595527.0,42.2,5.9,5.3454,14.6,2.6273999999999997,54222.0,54222.0,3415.986,45275.37
PUNJAB,Barnala,102577.0,595527.0,38.8,5.8,5.5158,38.1,1.6166999999999998,54222.0,54222.0,3199.0980000000004,48908.244000000006
CHANDIGARH,Chandigarh,8911.0,1055450.0,46.1,2.2,2.1471999999999998,83.0,0.29279999999999995,289456.0,289456.0,8104.767999999999,254721.28
CHANDIGARH,Chandigarh,8911.0,1055450.0,26.5,3.4,3.3421999999999996,85.9,0.1966,289456.0,289456.0,10130.96,253563.45599999998
CHANDIGARH,Chandigarh,8911.0,1055450.0,25.9,3.4,3.3421999999999996,85.9,0.1966,289456.0,289456.0,10130.96,253563.45599999998
UTTARAKHAND,Uttarkashi,112148.0,330086.0,26.4,3.0,2.931,1.6,0.7816000000000001,9061.0,9061.0,271.83,3579.095
